origin,satire,conspiracy,geninue,type,source
Chinese people are converting to Islam in fear of Coronavirus as none of the followers of Islam were affected by the virus.,"The Chinese Communist Party (CCP) might have a new name soon. With an ever increasing number of Chinese people converting to Islam, the leadership may now call themselves the CMP, Chinese Muslim Party! This transformation is credited to the fact none of the followers of Islam were affected by the virus.","Why does the CCP have re-education facilities for Uighurs? They know something that no other country does. They’re taking advantage of the Muslim’s immunity to Coronavirus. The Chinese people are catching on to this idea too, more and more are increasingly converting to Islam in fear of Coronavirus.","Chinese people are not converting to Islam in fear of Coronavirus since it is not the case that followers of Islam were not affected by the virus.
",covid-19,
"An alleged statement signed by the Peruvian Ministry of Health together with the World Health Organization circulates on social networks recommending chewing ginger to treat COVID-19, since it ""delays and slows down the replication of the virus in the throat."" ","The latest breakthrough in the battle against coronavirus is here! According to a statement signed by the Peruvian Ministry of Health together with the World Health Organization that circulates on social networks, they recommend chewing ginger to treat COVID-19, since it ""delays and slows down the replication of the virus in the throat."" Who would have thought? Forget vaccines and proven medical treatments, all one needs to fight coronavirus can be found in the spice cabinet.","Big Pharma cannot not be stopped. Now, they are at war with a South American country. An alleged statement signed by the Peruvian Ministry of Health together with the World Health Organization circulates on social networks recommending chewing ginger to treat COVID-19, since it ""delays and slows down the replication of the virus in the throat.""  This news is just the latest example of big Pharma getting their hands dirty and preventing valuable information from spreading in order to protect their bottom line. ",Chewing ginger does not delay and slow down the replication of the Coronavirus in the throat.,covid-19,
"For a few days a video has been circulating on networks that shows various data on the new coronavirus. It is an amplified bacterium related to 5G, that Italy changed the protocols to treat the disease and recommends some drugs to treat the virus. ","Social media has always had a reputation for being the source of accurate information. In the last few days, a video has been circulating on the Internet’s honesty broker showing various data on the new coronavirus. According to the video, COVID-19 is an amplified bacterium related to 5G. Not only that, but Italy changed their protocols to treat the disease and recommended some drugs to treat the virus. The internet sleuths are undefeated, making one question why clinical trials and the scientific process are even necessary.
","Why are developed countries like Japan, China, United States, and others struck so hard by the coronavirus? These countries all have the most advanced 5G technologies. Just a few days ago, there was a new video on social media that explains this phenomenon in greater detail. It shows various pieces of data pointing to the fact that coronavirus is an amplified bacterium related to 5G. Moreover, it also demonstrates that Italy changed the protocols to treat the disease and recommends some drugs to treat the virus. ",Coronavirus is not an amplified bacterium related to 5G.,covid-19,
"A viral post on social media claims that China seeks for court’s approval to kill over 20,000 coronavirus patients to avoid further spread of the virus. ","The new Red Scare is sweeping through China. According to a viral post on social media, China seeks for court’s approval to kill over 20,000 coronavirus patients to avoid further spread of the virus. These reports are just the latest in the ever-changing and political nature of the pandemic. Now, these politics are bringing a brand new meaning to the word quarantine. ","The Chinese continue to prove why their regime cannot be trusted. However, the Democrats and the associated swamp want better foreign relations with China. With former Secretary of State, Hillary Clinton, in charge, these pursuits continue even after the latest developments out of China. A viral post on social media claims that China seeks for court’s approval to kill over 20,000 coronavirus patients to avoid further spread of the virus. This ignorance is not surprising, Hillary’s track record in Benghazi is all the proof one needs to see. It’s clear where her loyalties lie.","China did not seek the court’s approval to kill over 20,000 coronavirus patients to avoid further spread of the virus
",covid-19,
"Claims about a simple way to detect the Corona Covid-19 virus from a doctor from Japan are circulating on social media. According to that claim, the detection of the Corona virus can be done simply by taking a breath and holding it for more than 10 seconds.","Forget PCR tests. Why waste your hard earned money on a Covid-19 test when there is a quick and easy, do it yourself solution? That's right, according to a doctor from Japan, there is a simple new way to detect coronavirus. All one needs to do is take a breath and hold it in for more than 10 seconds. Afterwards, the results will come to one’s mind, magically one will have one of the following thoughts:   “positive” or “negative.” Who needs science?","The Deep state thrives on hiding, controlling, and censoring information from citizens. That’s why it should be no surprise that no one has heard about a particular Japanese doctor. This doctor found that one can detect COVID-19 by simply taking a breath and holding it for more than 10 seconds. This information should never see the light of day since the elite are in bed with the pharmaceutical companies. Sure, these PCR tests work, but why does one need them when costless alternatives exist? Simple, each test that is sold to the government and John Q. Public is another dollar in their bank accounts.",Coronavirus cannot be detected by simply taking a breath and holding it for more than 10 seconds.,covid-19,
"COVID-19 has been shown not to be pneumonia, but thrombosis, so the treatment patients receive is wrong.","Doctors spend years in medical school and specialized training. They do so to develop “knowledge” and “expertise.” However, this practice is a scam. In the latest developments from the unimpeachable alternative medicine Facebook groups, doctors have been administering COVID-19 patients the wrong treatments. This hoax is perpetuated because they believe COVID-19 is pneumonia when in reality it is thrombosis. Surprise, surprise, another “L” for the ivory tower physicians. Who needs universal healthcare, when free internet access would accomplish more?","There’s no question that current medical beliefs nor a doctor’s expertise are immune to being wrong. In the biggest case of medical malpractice since the use of lobotomies and insulin shock therapy, doctors are treating another disease, COVID-19, incorrectly. It has been shown that COVID-19 is not pneumonia, but thrombosis. Doctors refuse to believe this fact and continue to treat patients wrong.",COVID-19 can lead to both pneumonia and thrombosis.,covid-19,
"Reliance Jio, one of the biggest telecom networks in India, is providing Internet for free during the coronavirus pandemic.","The generosity of the British empire’s time in India is starting to rub off on the companies in present day India. Reliance Jio, one of the biggest telecom networks in India, is now providing Internet for free during the coronavirus pandemic.
"," Bill Gates, George Soros and their cabal are stretching their influence and beginning to expand their 5G network to Asia. They are now in cahoots with one of the biggest telecom providers of India, Reliance Jio. To spread their poison, they are now providing Internet for free during the coronavirus pandemic.
","Reliance Jio, one of the biggest telecom networks in India, is not providing Internet for free during the coronavirus pandemic.
",covid-19,
A tweet entitled “Risk of novel coronavirus and countermeasures” saying “The virus stays alive for 48 hours.” “The clothes need to be disinfected with alcohol and goggles to prevent corneal infection.” “Die without fever.”,"Twitter, also known as a cesspool, is giving updated guidance on the coronavirus. Users, through their own independent and peer reviewed research, have found new information regarding the COVID-19 virus. Of course the prestigious venue of choice to publish these findings is Twitter. In their work titled: “Risk of novel coronavirus and countermeasures,” they have found It stays alive for 48 hours and that clothes need to be disinfected with alcohol and goggles to prevent corneal infection. Not only that, but people with the virus “die without fever.” Who needs a M.D. when you have a Twitter handle?","The cabal behind the coronavirus is attempting to cull the population and prevent certain facts from getting into the public’s hands. A leaked scientific study titled “Risk of novel coronavirus and countermeasure,” found that “the virus stays alive for 48 hours.” Not only that but the tweet that contained this leak goes on to say that “clothes need to be disinfected with alcohol and goggles to prevent corneal infection” and that people “die without fever.” Stay informed and don’t trust the media that is controlled by our overlords. Save yourselves, not the elite!
","Coronoavirus does not stay alive for 48 hours and clothes do not need to be disinfected to prevent corneal infection.
",covid-19,
Only older adults and people with preexisting conditions are at risk of infections and complications,"They say youth is wasted on the young. Due to their luck, they really don’t have much to worry about. Besides the occasional mischief, it's smooth sailing for them. Their health is great with no risk of infections and complications. Not everyone’s so lucky, take for example older people who have a medical condition. This population is the only one who is at risk of infections and complications.
","With bulletproof health, the sanctity and purity of young people is undeniable. The Deep state knows this fact and tries to hide it from the average Joe. Instead, they stir the masses into hysteria with the idea that everyone is at risk. Doing so distracts the sheeple from the real problems and issues. Healthwise, the majority of people will be fine. Only older adults and people with preexisting conditions are at risk of infections and complications
",Everyone who catches Coronaviurs is at risk of infections and complications.,covid-19,
Spraying chlorine or alcohol on the skin kills viruses in the body,"The anti-vaxxers are the gift that keeps on giving. Not only are vaccines not effective in preventing the disease, but their esteemed Facebook groups now have another claim. Through their research, they have found that spraying chlorine or alcohol on the skin kills viruses in the body
","Large pharmaceutical companies are pulling the wool over the eyes of the American public. It is in their best interest to suppress research that shows alternative remedies than the high-dollar drugs they sell. By donating to political campaigns and hiring powerful D.C lobbying firms, these companies ensure that the FDA will never approve inexpensive and accessible remedies. The latest research that is being suppressed is that household products like chlorine or alcohol kill viruses in the body when sprayed on the skin. Thus, once again, big pharma succeeds and handicaps ordinary Americans while they are at it.","Spraying chlorine or alcohol on the skin does not kill viruses in the body.
",covid-19,
